timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,50
2,50,0,4900,98,50
3,50,0,4850,97,50
4,50,0,4800,96,50
5,50,0,4750,95,50
6,50,0,4700,94,50
7,50,0,4650,93,50
8,50,0,4600,92,50
9,50,0,4550,91,50
10,51,0,4500,88,51
11,52,0,4449,85,52
12,53,0,4397,82,53
13,54,0,4344,80,54
14,55,0,4290,78,55
15,56,0,4235,75,56
16,57,0,4179,73,57
17,58,0,4122,71,58
18,59,0,4064,68,59
19,60,0,4005,66,60
20,61,0,3945,64,61
21,62,0,3884,62,62
22,63,0,3822,60,63
23,64,0,3759,58,64
24,65,0,3695,56,65
25,66,0,3630,55,66
26,67,0,3564,53,67
27,68,0,3497,51,68
28,69,0,3429,49,69
29,70,0,3360,48,70
30,71,0,3290,46,71
31,72,0,3219,44,72
32,73,0,3147,43,73
33,74,0,3074,41,74
34,75,0,3000,40,75
35,76,0,2925,38,76
36,77,0,2849,37,77
37,78,0,2772,35,78
38,79,0,2694,34,79
39,80,0,2615,32,80
40,81,0,2535,31,81
41,82,0,2454,29,82
42,83,0,2372,28,83
43,84,0,2289,27,84
44,85,0,2205,25,85
45,85,0,2120,24,84
46,85,0,2035,23,83
47,85,0,1950,22,82
48,85,0,1865,21,82
49,85,0,1790,21,82
50,85,0,1705,20,82
51,85,0,1630,19,82
52,85,0,1545,18,81
53,85,0,1460,17,83
54,85,0,1405,16,83
55,85,0,1320,15,83
56,85,0,1245,14,82
57,85,0,1160,13,81
58,85,0,1075,12,82
59,85,0,1010,11,82
60,85,0,925,10,82
61,85,0,850,10,82
62,85,0,765,9,81
63,85,0,680,8,83
64,85,0,625,7,83
65,84,1,540,6,82
66,83,2,466,5,81
67,82,3,383,4,79
68,81,4,301,3,79
69,80,5,240,3,78
70,79,6,160,2,77
71,78,7,91,1,76
72,77,8,13,0,74
73,0,85,-64,0,73
74,0,85,-64,0,73
75,0,85,-64,0,73
76,0,85,-64,0,73
77,0,85,-64,0,73
