timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,20
2,20,0,1960,98,20
3,20,0,1940,97,20
4,20,0,1920,96,20
5,20,0,1900,95,20
6,20,0,1880,94,20
7,20,0,1860,93,20
8,20,0,1840,92,20
9,20,0,1820,91,20
10,21,0,1800,85,21
11,22,0,1779,80,22
12,23,0,1757,76,23
13,24,0,1734,72,24
14,25,0,1710,68,25
15,26,0,1685,64,26
16,27,0,1659,61,27
17,28,0,1632,58,28
18,29,0,1604,55,29
19,30,0,1575,52,30
20,31,0,1545,49,31
21,32,0,1514,47,32
22,33,0,1482,44,33
23,34,0,1449,42,34
24,35,0,1415,40,35
25,36,0,1380,38,36
26,37,0,1344,36,37
27,38,0,1307,34,38
28,39,0,1269,32,39
29,40,0,1230,30,40
30,41,0,1190,29,41
31,42,0,1149,27,42
32,43,0,1107,25,43
33,43,0,1064,24,42
34,43,0,1021,23,41
35,43,0,978,22,40
36,43,0,935,21,39
37,43,0,892,20,38
38,43,0,849,19,38
39,43,0,906,21,38
40,43,0,863,20,37
41,43,0,820,19,36
42,43,0,777,18,35
43,43,0,734,17,36
44,43,0,891,20,37
45,43,0,948,22,37
46,43,0,1005,23,36
47,43,0,962,22,35
48,43,0,919,21,35
49,43,0,976,22,36
50,43,0,1033,24,36
51,43,0,1090,25,36
52,43,0,1047,24,36
53,43,0,1104,25,36
54,43,0,1161,27,37
55,43,0,1218,28,39
56,43,0,1375,31,39
57,43,0,1332,30,39
58,43,0,1289,29,39
59,43,0,1246,28,40
60,43,0,1303,30,40
61,43,0,1260,29,41
62,43,0,1317,30,42
63,43,0,1374,31,42
64,44,0,1331,30,44
65,45,0,1387,30,45
66,46,0,1342,29,46
67,47,0,1296,27,47
68,48,0,1249,26,48
69,48,0,1201,25,48
70,48,0,1153,24,47
71,48,0,1105,23,46
72,48,0,1057,22,45
73,48,0,1009,21,44
74,48,0,961,20,43
75,48,0,913,19,43
76,48,0,965,20,43
77,48,0,917,19,42
78,48,0,869,18,41
79,48,0,821,17,40
80,48,0,773,16,41
81,48,0,925,19,42
82,48,0,977,20,42
83,48,0,1029,21,41
84,48,0,981,20,40
85,48,0,933,19,40
86,48,0,985,20,41
87,48,0,1037,21,41
88,48,0,1089,22,41
89,48,0,1041,21,41
90,48,0,1093,22,41
91,48,0,1145,23,42
92,48,0,1197,24,43
93,48,0,1349,28,42
94,48,0,1301,27,42
95,48,0,1253,26,42
96,48,0,1205,25,43
97,48,0,1257,26,42
98,48,0,1209,25,44
99,48,0,1361,28,45
100,48,0,1413,29,45
101,48,0,1365,28,47
102,48,0,1517,31,47
103,48,0,1469,30,47
104,48,0,1421,29,47
105,48,0,1373,28,47
106,48,0,1325,27,48
107,48,0,1377,28,48
108,48,0,1329,27,48
109,49,0,1281,26,49
110,49,0,1232,25,49
111,49,0,1183,24,48
112,49,0,1134,23,47
113,49,0,1085,22,46
114,49,0,1036,21,45
115,49,0,987,20,44
116,49,0,938,19,44
117,49,0,989,20,44
118,49,0,940,19,43
119,49,0,891,18,42
120,49,0,842,17,41
121,49,0,793,16,42
122,49,0,944,19,43
123,49,0,995,20,43
124,49,0,1046,21,42
125,49,0,997,20,41
126,49,0,948,19,41
127,49,0,999,20,42
128,49,0,1050,21,42
129,49,0,1101,22,42
130,49,0,1052,21,42
131,49,0,1103,22,42
132,49,0,1154,23,43
133,49,0,1205,24,44
134,49,0,1356,27,43
135,49,0,1307,26,43
136,49,0,1258,25,43
137,49,0,1209,24,43
138,49,0,1260,25,42
139,49,0,1211,24,43
140,49,0,1362,27,44
141,49,0,1413,28,44
142,49,0,1364,27,46
143,49,0,1515,30,46
144,49,0,1466,29,47
145,49,0,1517,30,47
146,49,0,1468,29,48
147,49,0,1519,31,48
148,49,0,1470,30,48
149,49,0,1421,29,49
150,50,0,1472,29,50
151,51,0,1422,27,51
152,52,0,1371,26,52
153,52,0,1319,25,52
154,52,0,1267,24,51
155,52,0,1215,23,50
156,52,0,1163,22,49
157,52,0,1111,21,48
158,52,0,1059,20,47
159,52,0,1007,19,47
160,52,0,1055,20,47
161,52,0,1003,19,46
162,52,0,951,18,45
163,52,0,899,17,44
164,52,0,847,16,45
165,52,0,995,19,46
166,52,0,1043,20,46
167,52,0,1091,20,45
168,52,0,1039,19,44
169,52,0,987,18,44
170,52,0,1035,19,45
171,52,0,1083,20,45
172,52,0,1131,21,45
173,52,0,1079,20,45
174,52,0,1127,21,45
175,52,0,1175,22,46
176,52,0,1223,23,47
177,52,0,1371,26,46
178,52,0,1319,25,46
179,52,0,1267,24,45
180,52,0,1215,23,45
181,52,0,1263,24,45
182,52,0,1211,23,46
183,52,0,1359,26,47
184,52,0,1407,27,47
185,52,0,1355,26,49
186,52,0,1503,28,49
187,52,0,1451,27,50
188,52,0,1499,28,51
189,52,0,1547,29,51
190,52,0,1495,28,51
191,52,0,1443,27,51
192,52,0,1391,26,51
193,52,0,1339,25,52
194,52,0,1387,26,51
195,52,0,1335,25,51
196,52,0,1283,24,50
197,52,0,1231,23,49
198,52,0,1179,22,48
199,52,0,1127,21,48
200,52,0,1175,22,48
201,52,0,1123,21,47
202,52,0,1071,20,46
203,52,0,1019,19,45
204,52,0,967,18,45
205,52,0,1015,19,46
206,52,0,1063,20,47
207,52,0,1111,21,47
208,52,0,1159,22,46
209,52,0,1107,21,46
210,52,0,1155,22,45
211,52,0,1103,21,44
212,52,0,1051,20,45
213,52,0,1199,23,45
214,52,0,1147,22,44
215,52,0,1095,21,45
216,52,0,1243,23,46
217,52,0,1291,24,47
218,52,0,1339,25,47
219,52,0,1387,26,46
220,52,0,1335,25,48
221,52,0,1483,28,47
222,52,0,1431,27,47
223,52,0,1379,26,48
224,52,0,1427,27,48
225,52,0,1375,26,48
226,52,0,1323,25,49
227,52,0,1371,26,50
228,52,0,1419,27,51
229,52,0,1467,28,51
230,52,0,1415,27,51
231,52,0,1363,26,52
232,52,0,1411,27,52
233,52,0,1359,26,52
234,52,0,1307,25,52
235,52,0,1255,24,51
236,52,0,1203,23,50
237,52,0,1151,22,49
238,52,0,1099,21,48
239,52,0,1047,20,47
240,52,0,995,19,47
241,52,0,1043,20,47
242,52,0,991,19,46
243,52,0,939,18,45
244,52,0,887,17,44
245,52,0,835,16,45
246,52,0,983,18,46
247,52,0,1031,19,46
248,52,0,1079,20,45
249,52,0,1027,19,44
250,52,0,975,18,44
251,52,0,1023,19,45
252,52,0,1071,20,45
253,52,0,1119,21,45
254,52,0,1067,20,45
255,52,0,1115,21,45
256,52,0,1163,22,46
257,52,0,1211,23,47
258,52,0,1359,26,46
259,52,0,1307,25,46
260,52,0,1255,24,45
261,52,0,1203,23,45
262,52,0,1251,24,45
263,52,0,1199,23,46
264,52,0,1347,25,47
265,52,0,1395,26,46
266,52,0,1343,25,48
267,52,0,1491,28,48
268,52,0,1439,27,49
269,52,0,1487,28,50
270,52,0,1535,29,50
271,52,0,1483,28,50
272,52,0,1431,27,50
273,52,0,1379,26,50
274,52,0,1327,25,52
275,52,0,1475,28,51
276,52,0,1423,27,51
277,52,0,1371,26,51
278,52,0,1319,25,51
279,52,0,1267,24,50
280,52,0,1215,23,50
281,52,0,1263,24,50
282,52,0,1211,23,49
283,52,0,1159,22,48
284,52,0,1107,21,47
285,52,0,1055,20,47
286,52,0,1103,21,47
287,52,0,1051,20,46
288,52,0,999,19,46
289,52,0,1047,20,46
290,52,0,995,19,46
291,52,0,1043,20,47
292,52,0,1091,20,48
293,52,0,1139,21,47
294,52,0,1087,20,46
295,52,0,1035,19,46
296,52,0,1083,20,46
297,52,0,1031,19,46
298,52,0,1079,20,47
299,52,0,1127,21,48
300,52,0,1175,22,48
301,52,0,1223,23,47
302,52,0,1171,22,46
303,52,0,1119,21,46
304,52,0,1167,22,47
305,52,0,1215,23,47
306,52,0,1263,24,47
307,52,0,1211,23,46
308,52,0,1159,22,46
309,52,0,1207,23,46
310,52,0,1155,22,47
311,52,0,1303,25,47
312,52,0,1251,24,47
313,52,0,1299,24,46
314,52,0,1247,23,45
315,52,0,1195,22,46
316,52,0,1343,25,47
317,52,0,1391,26,47
318,52,0,1339,25,47
319,52,0,1287,24,47
320,52,0,1335,25,47
321,52,0,1383,26,47
322,52,0,1431,27,48
323,52,0,1479,28,49
324,52,0,1527,29,49
325,52,0,1475,28,49
326,52,0,1423,27,50
327,52,0,1471,28,50
328,52,0,1419,27,51
329,52,0,1467,28,51
330,52,0,1415,27,51
331,52,0,1363,26,52
332,52,0,1411,27,52
333,52,0,1359,26,52
334,52,0,1307,25,52
335,52,0,1255,24,51
336,52,0,1203,23,50
337,52,0,1151,22,49
338,52,0,1099,21,48
339,52,0,1047,20,47
340,52,0,995,19,47
341,52,0,1043,20,47
342,52,0,991,19,46
343,52,0,939,18,45
344,52,0,887,17,44
345,52,0,835,16,45
346,52,0,983,18,46
347,52,0,1031,19,46
348,52,0,1079,20,45
349,52,0,1027,19,44
350,52,0,975,18,44
351,52,0,1023,19,45
352,52,0,1071,20,45
353,52,0,1119,21,45
354,52,0,1067,20,45
355,52,0,1115,21,45
356,52,0,1163,22,46
357,52,0,1211,23,47
358,52,0,1359,26,46
359,52,0,1307,25,46
360,52,0,1255,24,45
361,52,0,1203,23,45
362,52,0,1251,24,45
363,52,0,1199,23,46
364,52,0,1347,25,47
365,52,0,1395,26,46
366,52,0,1343,25,48
367,52,0,1491,28,48
368,52,0,1439,27,49
369,52,0,1487,28,50
370,52,0,1535,29,50
371,52,0,1483,28,50
372,52,0,1431,27,50
373,52,0,1379,26,50
374,52,0,1327,25,52
375,52,0,1475,28,51
376,52,0,1423,27,51
377,52,0,1371,26,51
378,52,0,1319,25,51
379,52,0,1267,24,50
380,52,0,1215,23,50
381,52,0,1263,24,50
382,52,0,1211,23,49
383,52,0,1159,22,48
384,52,0,1107,21,47
385,52,0,1055,20,47
386,52,0,1103,21,47
387,52,0,1051,20,46
388,52,0,999,19,46
389,52,0,1047,20,46
390,52,0,995,19,46
391,52,0,1043,20,47
392,52,0,1091,20,48
393,52,0,1139,21,47
394,52,0,1087,20,46
395,52,0,1035,19,46
396,52,0,1083,20,46
397,52,0,1031,19,46
398,52,0,1079,20,47
399,52,0,1127,21,48
400,52,0,1175,22,48
401,52,0,1223,23,47
402,52,0,1171,22,46
403,52,0,1119,21,46
404,52,0,1167,22,47
405,52,0,1215,23,47
406,52,0,1263,24,47
407,52,0,1211,23,46
408,52,0,1159,22,46
409,52,0,1207,23,46
410,52,0,1155,22,47
411,52,0,1303,25,47
412,52,0,1251,24,47
413,52,0,1299,24,46
414,52,0,1247,23,45
415,52,0,1195,22,46
416,52,0,1343,25,47
417,52,0,1391,26,47
418,52,0,1339,25,47
419,52,0,1287,24,47
420,52,0,1335,25,47
421,52,0,1383,26,47
422,52,0,1431,27,48
423,52,0,1479,28,49
424,52,0,1527,29,49
425,52,0,1475,28,49
426,52,0,1423,27,50
427,52,0,1471,28,50
428,52,0,1419,27,51
429,52,0,1467,28,51
430,52,0,1415,27,51
431,52,0,1363,26,52
432,52,0,1411,27,52
433,52,0,1359,26,52
434,52,0,1307,25,52
435,52,0,1255,24,51
436,52,0,1203,23,50
437,52,0,1151,22,49
438,52,0,1099,21,48
439,52,0,1047,20,47
440,52,0,995,19,47
441,52,0,1043,20,47
442,52,0,991,19,46
443,52,0,939,18,45
444,52,0,887,17,44
445,52,0,835,16,45
446,52,0,983,18,46
447,52,0,1031,19,46
448,52,0,1079,20,45
449,52,0,1027,19,44
450,52,0,975,18,44
451,52,0,1023,19,45
452,52,0,1071,20,45
453,52,0,1119,21,45
454,52,0,1067,20,45
455,52,0,1115,21,45
456,52,0,1163,22,46
457,52,0,1211,23,47
458,52,0,1359,26,46
459,52,0,1307,25,46
460,52,0,1255,24,45
461,52,0,1203,23,45
462,52,0,1251,24,45
463,52,0,1199,23,46
464,52,0,1347,25,47
465,52,0,1395,26,46
466,52,0,1343,25,48
467,52,0,1491,28,48
468,52,0,1439,27,49
469,52,0,1487,28,50
470,52,0,1535,29,50
471,52,0,1483,28,50
472,52,0,1431,27,50
473,52,0,1379,26,50
474,52,0,1327,25,52
475,52,0,1475,28,51
476,52,0,1423,27,51
477,52,0,1371,26,51
478,52,0,1319,25,51
479,52,0,1267,24,50
480,52,0,1215,23,50
481,52,0,1263,24,50
482,52,0,1211,23,49
483,52,0,1159,22,48
484,52,0,1107,21,47
485,52,0,1055,20,47
486,52,0,1103,21,47
487,52,0,1051,20,46
488,52,0,999,19,46
489,52,0,1047,20,46
490,52,0,995,19,46
491,52,0,1043,20,47
492,52,0,1091,20,48
493,52,0,1139,21,47
494,52,0,1087,20,46
495,52,0,1035,19,46
496,52,0,1083,20,46
497,52,0,1031,19,46
498,52,0,1079,20,47
499,52,0,1127,21,48
500,52,0,1175,22,48
501,52,0,1223,23,47
502,52,0,1171,22,46
503,52,0,1119,21,46
504,52,0,1167,22,47
505,52,0,1215,23,47
506,52,0,1263,24,47
507,52,0,1211,23,46
508,52,0,1159,22,46
509,52,0,1207,23,46
510,52,0,1155,22,47
511,52,0,1303,25,47
512,52,0,1251,24,47
513,52,0,1299,24,46
514,52,0,1247,23,45
515,52,0,1195,22,46
516,52,0,1343,25,47
517,52,0,1391,26,47
518,52,0,1339,25,47
519,52,0,1287,24,47
520,52,0,1335,25,47
521,52,0,1383,26,47
522,52,0,1431,27,48
523,52,0,1479,28,49
524,52,0,1527,29,49
525,52,0,1475,28,49
526,52,0,1423,27,50
527,52,0,1471,28,50
528,52,0,1419,27,51
529,52,0,1467,28,51
530,52,0,1415,27,51
531,52,0,1363,26,52
532,52,0,1411,27,52
533,52,0,1359,26,52
534,52,0,1307,25,52
535,52,0,1255,24,51
536,52,0,1203,23,50
537,52,0,1151,22,49
